"SITE_ID","URL","SITE_NAME","DELETE_FLG","LAST_PUB_DATE_TIME"
1,"http://rss.rssad.jp/rss/gihyo/feed/atom","gihyo.jp：総合","0",2013/05/29 11:22:01
2,"http://feeds.lifehacker.jp/rss/lifehacker/index.xml?rss","ライフハッカー［日本版］","0",2013/05/31 22:00:00
3,"http://rss.rssad.jp/rss/mycom/index","マイナビニュース","0",2013/06/01 5:30:02
4,"http://rocketnews24.com/feed/","ロケットニュース24","0",2013/06/01 2:08:21
5,"http://feed.rssad.jp/rss/gigazine/rss_atom","GIGAZINE","0",2013/05/31 16:30:44
6,"http://getnews.jp/feed/ext/orig","ガジェット通信","0",2013/06/01 0:33:11
7,"http://kachibito.net/feed","かちびと.net","0",2013/05/31 11:33:05
8,"http://feed.rssad.jp/rss/engadget/rss","Engadget Japanese","0",2013/06/01 6:00:16
9,"http://2ch-c.net/?xml_all","しぃアンテナ(*ﾟーﾟ)","0",2013/06/01 6:00:16
10,"http://baikuto.doorblog.jp/index.rdf","バイクと！","0",2013/06/01 6:00:16
11,"http://feeds.feedburner.com/hatena/b/hotentry","はてなブックマーク - 人気エントリー","0",2013/06/01 6:00:16
12,"http://treewoods.net/kugelblitz/?feed=rss2","Kugelblitz","0",2013/05/31 16:48:19
13,"http://momoclonews.com/index.rdf","ももクロニュース","0",2013/06/01 6:00:16
14,"http://yoshio3.com/feed/","寺田　佳央 - Yoshio Terada","0",2013/05/29 19:21:56
